R,G,B,cebolla,manzana,limon,zanahoria
68,175,164,0,1,0,0
69,183,164,0,1,0,0
68,182,164,0,1,0,0
69,181,169,0,1,0,0
69,174,176,0,1,0,0
68,179,173,0,1,0,0
69,181,172,0,1,0,0
69,181,172,0,1,0,0
68,181,171,0,1,0,0
74,191,167,0,1,0,0
59,125,118,0,1,0,0
55,125,113,0,1,0,0
56,141,134,0,1,0,0
57,135,117,0,1,0,0
55,118,108,0,1,0,0
54,117,111,0,1,0,0
54,116,108,0,1,0,0
54,119,108,0,1,0,0
57,129,122,0,1,0,0
55,126,110,0,1,0,0
53,112,107,0,1,0,0
54,120,111,0,1,0,0
54,120,112,0,1,0,0
54,124,113,0,1,0,0
54,124,114,0,1,0,0
54,122,111,0,1,0,0
54,114,104,0,1,0,0
53,124,117,0,1,0,0
54,132,126,0,1,0,0
49,126,121,0,1,0,0
55,122,108,0,1,0,0
56,126,122,0,1,0,0
56,133,118,0,1,0,0
56,133,128,0,1,0,0
57,137,125,0,1,0,0
58,139,137,0,1,0,0
59,169,156,0,1,0,0
68,195,180,0,1,0,0
68,194,170,0,1,0,0
67,181,165,0,1,0,0
59,145,130,0,1,0,0
57,146,128,0,1,0,0
59,141,128,0,1,0,0
61,167,170,0,1,0,0
78,205,180,0,1,0,0
76,188,169,0,1,0,0
72,179,167,0,1,0,0
63,160,148,0,1,0,0
68,171,162,0,1,0,0
69,168,164,0,1,0,0
66,160,137,0,1,0,0
61,142,134,0,1,0,0
65,155,139,0,1,0,0
63,152,131,0,1,0,0
63,140,124,0,1,0,0
63,140,130,0,1,0,0
63,144,136,0,1,0,0
63,135,137,0,1,0,0
63,144,138,0,1,0,0
62,146,130,0,1,0,0
63,144,131,0,1,0,0
63,148,130,0,1,0,0
63,146,130,0,1,0,0
63,144,131,0,1,0,0
63,145,130,0,1,0,0
62,149,132,0,1,0,0
62,147,132,0,1,0,0
62,145,131,0,1,0,0
62,146,130,0,1,0,0
63,144,131,0,1,0,0
63,143,130,0,1,0,0
62,138,130,0,1,0,0
62,142,131,0,1,0,0
63,139,131,0,1,0,0
63,149,130,0,1,0,0
63,144,131,0,1,0,0
63,148,130,0,1,0,0
63,140,130,0,1,0,0
62,141,139,0,1,0,0
63,147,130,0,1,0,0
64,141,130,0,1,0,0
62,146,131,0,1,0,0
63,147,130,0,1,0,0
63,148,129,0,1,0,0
64,147,125,0,1,0,0
64,145,130,0,1,0,0
63,140,128,0,1,0,0
63,144,131,0,1,0,0
62,138,124,0,1,0,0
63,146,130,0,1,0,0
63,139,130,0,1,0,0
63,143,131,0,1,0,0
63,139,124,0,1,0,0
63,146,129,0,1,0,0
57,141,124,0,1,0,0
63,145,131,0,1,0,0
63,141,125,0,1,0,0
62,144,131,0,1,0,0
61,146,124,0,1,0,0
62,146,130,0,1,0,0
57,143,130,0,1,0,0
63,147,130,0,1,0,0
63,149,130,0,1,0,0
63,143,132,0,1,0,0
63,145,131,0,1,0,0
62,148,131,0,1,0,0
62,142,132,0,1,0,0
63,145,130,0,1,0,0
63,147,130,0,1,0,0
64,143,132,0,1,0,0
62,145,130,0,1,0,0
63,146,130,0,1,0,0
62,144,131,0,1,0,0
63,145,130,0,1,0,0
63,147,130,0,1,0,0
63,139,131,0,1,0,0
63,144,131,0,1,0,0
62,149,130,0,1,0,0
63,144,131,0,1,0,0
60,144,131,0,1,0,0
63,141,130,0,1,0,0
63,146,140,0,1,0,0
63,147,130,0,1,0,0
64,142,130,0,1,0,0
63,146,131,0,1,0,0
63,147,130,0,1,0,0
64,141,130,0,1,0,0
63,144,139,0,1,0,0
62,141,130,0,1,0,0
63,141,130,0,1,0,0
62,147,130,0,1,0,0
63,140,130,0,1,0,0
63,142,124,0,1,0,0
63,140,139,0,1,0,0
62,146,130,0,1,0,0
63,141,132,0,1,0,0
62,143,138,0,1,0,0
63,141,130,0,1,0,0
63,146,138,0,1,0,0
63,142,138,0,1,0,0
57,142,123,0,1,0,0
63,146,138,0,1,0,0
62,140,131,0,1,0,0
63,134,127,0,1,0,0
64,144,138,0,1,0,0
63,140,131,0,1,0,0
64,136,139,0,1,0,0
64,142,130,0,1,0,0
63,141,140,0,1,0,0
63,140,130,0,1,0,0
64,143,130,0,1,0,0
63,142,138,0,1,0,0
56,140,130,0,1,0,0
63,144,138,0,1,0,0
63,140,138,0,1,0,0
64,142,129,0,1,0,0
65,147,131,0,1,0,0
62,140,138,0,1,0,0
64,142,138,0,1,0,0
63,145,138,0,1,0,0
62,135,138,0,1,0,0
63,142,130,0,1,0,0
63,143,139,0,1,0,0
57,139,131,0,1,0,0
63,142,130,0,1,0,0
62,148,124,0,1,0,0
64,147,131,0,1,0,0
62,140,130,0,1,0,0
63,141,130,0,1,0,0
57,138,125,0,1,0,0
63,146,130,0,1,0,0
63,136,124,0,1,0,0
63,145,131,0,1,0,0
63,140,130,0,1,0,0
64,141,131,0,1,0,0
57,142,137,0,1,0,0
63,143,129,0,1,0,0
64,144,138,0,1,0,0
63,140,125,0,1,0,0
63,140,130,0,1,0,0
63,142,130,0,1,0,0
63,140,131,0,1,0,0
63,140,138,0,1,0,0
57,140,124,0,1,0,0
63,139,131,0,1,0,0
64,140,130,0,1,0,0
63,143,130,0,1,0,0
62,140,139,0,1,0,0
56,138,130,0,1,0,0
63,144,130,0,1,0,0
63,146,124,0,1,0,0
62,139,130,0,1,0,0
64,146,138,0,1,0,0
63,135,139,0,1,0,0
63,142,129,0,1,0,0
64,144,139,0,1,0,0
63,136,134,0,1,0,0
63,144,138,0,1,0,0
64,148,137,0,1,0,0
64,137,138,0,1,0,0
63,143,138,0,1,0,0
63,146,137,0,1,0,0
