R,G,B
61,59,90
74,74,112
58,76,104
55,68,95
69,66,99
64,66,99
75,68,95
97,80,119
67,84,115
67,72,102
72,82,115
63,72,106
68,76,129
68,79,117
66,80,128
66,81,115
61,72,103
55,61,96
60,68,109
65,76,114
95,75,108
70,75,112
133,84,133
133,91,145
146,97,152
131,89,138
78,88,148
86,92,143
165,98,168
92,96,162
170,102,193
182,105,152
193,119,245
104,121,227
97,108,175
77,86,124
111,73,97
95,72,114
86,66,89
53,61,96
86,74,124
81,71,119
57,74,110
88,75,111
81,74,126
82,74,98
76,69,105
78,73,116
53,72,118
92,78,122
72,67,96
48,60,100
50,66,102
48,60,90
47,53,93
62,63,97
47,59,83
54,55,90
48,57,80
52,67,102
80,70,111
54,68,109
73,66,97
76,69,105
55,70,124
55,72,107
55,71,115
81,71,94
80,71,109
54,72,102
82,71,101
70,61,95
69,62,98
86,60,92
58,66,102
98,72,103
104,80,130
63,74,111
94,72,103
109,80,109
105,77,117
66,75,114
67,74,112
65,67,107
60,70,98
102,72,107
113,71,118
113,68,113
104,72,102
86,60,81
54,64,98
76,62,88
58,56,81
60,57,86
52,68,105
56,61,78
72,60,97
71,60,91
90,76,118
63,77,145
65,86,142
95,77,113
93,75,118
60,75,126
80,67,110
82,68,106
78,68,101
78,69,101
54,66,100
78,68,110
78,67,108
54,67,104
53,69,104
54,66,99
79,67,95
54,67,100
53,69,95
54,68,108
84,69,95
92,70,111
106,72,117
100,78,111
76,97,155
204,124,211
120,140,275
103,119,164
83,97,173
76,88,133
71,72,109
116,74,115
109,68,113
107,69,110
105,63,104
105,72,110
62,71,90
62,71,114
97,67,99
61,71,116
108,75,113
62,71,111
65,83,136
109,85,122
66,93,164
114,88,137
115,86,155
62,86,121
108,87,137
113,90,153
106,89,143
112,85,129
111,84,136
112,90,135
111,88,131
112,85,129
64,91,127
65,90,126
55,72,105
56,76,110
89,75,135
57,74,109
81,71,121
54,69,110
81,67,103
78,67,108
53,66,110
76,67,113
71,63,94
71,62,96
51,60,96
69,58,84
51,60,102
52,62,88
52,66,98
75,59,104
80,62,104
81,65,123
55,71,124
58,73,124
89,76,123
57,74,132
