R,G,B,a1,a2,a3
501,961,890,0,1,1
501,960,884,0,1,1
512,956,888,0,1,1
505,962,891,0,1,1
505,964,890,0,1,1
476,958,891,0,1,1
499,959,896,0,1,1
507,962,883,0,1,1
397,720,715,0,1,1
391,775,727,0,1,1
371,770,725,0,1,1
409,775,725,0,1,1
401,771,729,0,1,1
387,770,725,0,1,1
396,776,727,0,1,1
402,771,730,0,1,1
408,769,723,0,1,1
380,771,733,0,1,1
408,774,724,0,1,1
395,773,723,0,1,1
396,775,737,0,1,1
411,776,733,0,1,1
405,776,727,0,1,1
402,781,730,0,1,1
396,764,733,0,1,1
390,776,731,0,1,1
405,778,734,0,1,1
401,776,723,0,1,1
402,768,726,0,1,1
399,773,726,0,1,1
405,770,734,0,1,1
409,766,734,0,1,1
399,768,726,0,1,1
407,785,730,0,1,1
381,769,728,0,1,1
406,779,738,0,1,1
395,772,725,0,1,1
386,769,730,0,1,1
401,765,738,0,1,1
400,769,729,0,1,1
407,776,735,0,1,1
383,781,729,0,1,1
392,763,718,0,1,1
571,473,712,1,0,0
587,463,719,1,0,0
589,472,722,1,0,0
589,484,716,1,0,0
617,469,725,1,0,0
597,469,724,1,0,0
616,469,722,1,0,0
603,466,718,1,0,0
592,468,715,1,0,0
607,469,717,1,0,0
606,490,718,1,0,0
604,467,724,1,0,0
616,482,718,1,0,0
604,474,719,1,0,0
612,464,725,1,0,0
616,474,719,1,0,0
616,470,719,1,0,0
603,468,718,1,0,0
608,472,718,1,0,0
606,468,724,1,0,0
610,487,722,1,0,0
608,474,725,1,0,0
608,461,718,1,0,0
610,472,720,1,0,0
607,462,720,1,0,0
618,467,719,1,0,0
607,464,718,1,0,0
617,468,723,1,0,0
608,469,719,1,0,0
610,482,720,1,0,0
613,481,717,1,0,0
606,473,718,1,0,0
602,466,716,1,0,0
602,475,725,1,0,0
612,473,717,1,0,0
619,471,719,1,0,0
612,462,719,1,0,0
581,474,716,1,0,0
609,462,726,1,0,0
565,469,712,1,0,0
619,464,726,1,0,0
611,470,720,1,0,0
571,466,726,1,0,0
582,462,721,1,0,0
585,462,722,1,0,0
569,462,722,1,0,0
613,485,720,1,0,0
595,468,718,1,0,0
574,469,726,1,0,0
585,463,726,1,0,0
610,468,720,1,0,0
583,468,718,1,0,0
587,463,719,1,0,0
616,469,721,1,0,0
618,471,721,1,0,0
612,462,721,1,0,0
611,462,721,1,0,0
612,471,723,1,0,0
611,469,721,1,0,0
613,470,722,1,0,0
630,469,726,1,0,0
614,474,714,1,0,0
567,468,715,1,0,0
608,477,720,1,0,0
446,355,583,1,0,0
425,358,575,1,0,0
420,365,580,1,0,0
413,366,571,1,0,0
421,349,573,1,0,0
427,357,579,1,0,0
418,349,575,1,0,0
428,357,566,1,0,0
420,359,579,1,0,0
436,352,571,1,0,0
429,351,584,1,0,0
399,354,576,1,0,0
428,345,580,1,0,0
437,354,573,1,0,0
398,349,582,1,0,0
426,349,573,1,0,0
434,352,583,1,0,0
428,365,588,1,0,0
436,513,848,1,0,0
405,244,346,1,0,0
368,376,596,1,0,0
420,351,609,1,0,0
437,352,616,1,0,0
463,360,635,1,0,0
449,366,626,1,0,0
456,357,632,1,0,0
509,418,622,1,0,0
477,400,631,1,0,0
476,415,656,1,0,0
487,404,645,1,0,0
495,401,662,1,0,0
502,424,662,1,0,0
490,408,665,1,0,0
498,418,660,1,0,0
480,409,652,1,0,0
497,403,666,1,0,0
504,404,660,1,0,0
478,409,664,1,0,0
490,410,663,1,0,0
505,414,665,1,0,0
474,434,669,1,0,0
488,423,667,1,0,0
512,416,670,1,0,0
507,414,663,1,0,0
488,406,664,1,0,0
505,411,664,1,0,0
511,417,664,1,0,0
492,421,663,1,0,0
487,418,670,1,0,0
518,407,666,1,0,0
515,414,665,1,0,0
524,410,665,1,0,0
510,414,673,1,0,0
505,413,676,1,0,0
524,419,665,1,0,0
488,413,677,1,0,0
495,421,670,1,0,0
485,419,669,1,0,0
530,421,678,1,0,0
509,415,678,1,0,0
532,417,677,1,0,0
523,420,677,1,0,0
535,418,677,1,0,0
532,413,671,1,0,0
484,421,679,1,0,0
543,557,432,1,0,0
550,417,691,1,0,0
550,417,679,1,0,0
552,423,688,1,0,0
553,424,678,1,0,0
511,423,686,1,0,0
550,420,683,1,0,0
550,426,690,1,0,0
521,429,698,1,0,0
559,424,690,1,0,0
538,427,690,1,0,0
513,424,696,1,0,0
526,437,696,1,0,0
539,424,679,1,0,0
507,426,698,1,0,0
538,435,691,1,0,0
538,418,691,1,0,0
540,422,696,1,0,0
545,428,695,1,0,0
532,424,690,1,0,0
551,426,687,1,0,0
133,105,101,0,0,0
120,116,109,0,0,0
118,112,110,0,0,0
117,110,109,0,0,0
114,116,108,0,0,0
113,111,111,0,0,0
119,110,107,0,0,0
118,112,109,0,0,0
115,107,110,0,0,0
118,109,110,0,0,0
119,111,103,0,0,0
119,110,110,0,0,0
114,110,109,0,0,0
110,110,109,0,0,0
111,109,107,0,0,0
120,110,110,0,0,0
115,111,110,0,0,0
115,118,108,0,0,0
110,110,110,0,0,0
120,115,108,0,0,0
121,102,109,0,0,0
120,112,109,0,0,0
118,111,109,0,0,0
115,110,110,0,0,0
118,114,111,0,0,0
113,111,110,0,0,0
114,110,108,0,0,0
119,108,108,0,0,0
120,109,109,0,0,0
113,109,109,0,0,0
116,115,109,0,0,0
116,103,111,0,0,0
119,118,109,0,0,0
119,108,108,0,0,0
120,112,103,0,0,0
117,115,103,0,0,0
113,115,108,0,0,0
114,108,110,0,0,0
119,111,103,0,0,0
118,115,103,0,0,0
119,109,109,0,0,0
118,109,108,0,0,0
114,112,108,0,0,0
115,112,110,0,0,0
118,112,108,0,0,0
118,111,111,0,0,0
113,115,101,0,0,0
119,111,109,0,0,0
115,110,111,0,0,0
113,109,108,0,0,0
115,114,110,0,0,0
113,112,108,0,0,0
115,113,110,0,0,0
119,120,109,0,0,0
119,108,103,0,0,0
121,109,108,0,0,0
119,111,109,0,0,0
117,112,110,0,0,0
114,114,110,0,0,0
110,108,110,0,0,0
116,109,108,0,0,0
119,103,109,0,0,0
117,104,109,0,0,0
119,105,110,0,0,0
116,108,109,0,0,0
116,111,109,0,0,0
115,108,108,0,0,0
117,107,110,0,0,0
117,112,109,0,0,0
117,119,109,0,0,0
116,119,108,0,0,0
112,118,110,0,0,0
119,113,111,0,0,0
114,109,110,0,0,0
116,113,109,0,0,0
118,111,113,0,0,0
111,105,110,0,0,0
109,117,111,0,0,0
113,114,110,0,0,0
624,604,135,0,0,0
105,107,95,0,0,0
106,106,94,0,0,0
104,100,95,0,0,0
106,101,94,0,0,0
102,106,95,0,0,0
102,109,94,0,0,0
101,99,96,0,0,0
100,108,94,0,0,0
108,102,88,0,0,0
105,101,95,0,0,0
108,107,95,0,0,0
108,98,96,0,0,0
106,98,94,0,0,0
107,96,94,0,0,0
96,105,96,0,0,0
103,101,97,0,0,0
101,104,96,0,0,0
106,100,94,0,0,0
108,107,96,0,0,0
103,98,89,0,0,0
106,100,90,0,0,0
102,102,94,0,0,0
109,99,94,0,0,0
105,108,96,0,0,0
107,103,94,0,0,0
105,106,95,0,0,0
108,105,90,0,0,0
108,102,90,0,0,0
103,107,95,0,0,0
105,95,96,0,0,0
108,98,96,0,0,0
107,98,94,0,0,0
107,99,95,0,0,0
98,108,94,0,0,0
105,100,90,0,0,0
107,103,95,0,0,0
103,101,96,0,0,0
103,99,95,0,0,0
109,101,96,0,0,0
105,99,96,0,0,0
106,99,97,0,0,0
105,107,96,0,0,0
97,106,96,0,0,0
107,103,95,0,0,0
105,98,96,0,0,0
104,108,95,0,0,0
105,99,94,0,0,0
104,92,95,0,0,0
106,101,97,0,0,0
104,105,95,0,0,0
102,99,96,0,0,0
107,104,95,0,0,0
100,100,94,0,0,0
105,103,96,0,0,0
106,101,97,0,0,0
104,99,96,0,0,0
103,98,95,0,0,0
104,103,96,0,0,0
104,109,97,0,0,0
106,92,95,0,0,0
103,107,96,0,0,0
108,101,94,0,0,0
103,101,95,0,0,0
105,98,89,0,0,0
105,108,96,0,0,0
108,107,94,0,0,0
105,103,95,0,0,0
98,99,95,0,0,0
106,104,94,0,0,0
109,105,95,0,0,0
